,quest_count,id,reputation,answ_count
0,2,1349670,1,0.0
1,2,1640577,344,17.0
2,11,1412059,112821,2608.0
3,1,4920678,79,5.0
4,6,5038581,63,0.0
5,1,10262997,11,0.0
6,2,2457606,1,1.0
7,1,867286,21,0.0
8,1,9005069,11,0.0
9,10,5699882,523,12.0
10,2,1027610,36,6.0
11,3,713873,236,1.0
12,1,1892895,61,0.0
13,9,3302997,506,20.0
14,1,13630197,11,0.0
15,6,5861873,315,5.0
16,1,4546314,9,2.0
17,1,12755171,1,0.0
18,16,195901,197,1.0
19,3,1398487,23,0.0
20,1,6492141,13,0.0
21,2,7339127,7,0.0
22,1,7744244,1,1.0
23,1,12379503,1,0.0
24,1,2867403,3,0.0
25,7,18792,155,1.0
26,2,8569633,1,0.0
27,1,10908659,1,0.0
28,1,5296531,3,0.0
29,1,3303972,1,0.0
30,1,6282943,11,0.0
31,8,1577171,51,2.0
32,7,8361923,7,1.0
33,1,5982241,21,0.0
34,7,1437070,174,4.0
35,1,9784407,13,0.0
36,5,3998301,27,4.0
37,2,8658456,11,0.0
38,2,3126468,157,1.0
39,1,3374626,3,1.0
40,1,4866486,11,0.0
41,1,6455830,3,0.0
42,5,372127,117,4.0
43,8,2337842,78,5.0
44,2,11992759,11,1.0
45,1,190771,11,0.0
46,2,1599903,41,0.0
47,1,2412573,23,0.0
48,3,3921711,11,1.0
49,1,5377219,9,0.0
50,15,1852996,127,5.0
51,1,1355372,1,0.0
52,1,843735,1,0.0
53,3,3381696,1442,117.0
54,2,279262,314,15.0
55,1,1828813,11,0.0
56,2,6939882,1,0.0
57,1,13013060,1,0.0
58,1,14013279,11,0.0
59,1,10103104,1,0.0
60,1,14018693,13,0.0
61,8,1925442,35,0.0
62,9,8721578,111,3.0
63,18,563177,1503,7.0
64,13,2873982,154,2.0
65,4,557522,575,14.0
66,5,3139643,153,0.0
67,2,5961487,73,9.0
68,2,13467031,1,0.0
69,2,3376454,1,1.0
70,1,2550796,31,0.0
71,1,1745220,11,0.0
72,1,3313163,3,0.0
73,3,111912,69,1.0
74,1,1672967,61,0.0
75,1,1317270,13,1.0
76,4,2879198,77,1.0
77,1,209475,1,0.0
78,1,6342386,1,0.0
79,1,1308942,11,0.0
80,1,10196345,3,0.0
81,2,8566148,13,0.0
82,1,583817,636,2.0
83,2,12208547,1,0.0
84,8,5364159,73,1.0
85,1,869103,1,0.0
86,8,4823772,146,2.0
87,1,7343014,1,0.0
88,1,7485007,1,0.0
89,95,3310212,1371,2.0
90,1,10220633,1,0.0
91,1,13822432,13,0.0
92,11,3226859,87,0.0
93,1,6582646,11,0.0
94,1,5961316,11,1.0
95,116,472317,3671,10.0
96,1,6860781,1,0.0
97,1,13713487,1,0.0
98,1,11953243,3,0.0
99,23,494766,145,0.0
100,1,1498615,1,0.0
101,7,12128619,81,0.0
102,1,7767714,11,0.0
103,5,2886313,98,5.0
104,3,5059670,25,0.0
105,2,13884245,1,0.0
106,1,638883,9,0.0
107,1,3536813,11,0.0
108,1,5015343,73,0.0
109,1,10315468,1,0.0
110,1,10359182,1,0.0
111,1,9219896,31,0.0
112,1,471715,1,0.0
113,1,13271141,3,0.0
114,1,248910,11,0.0
115,1,12541258,9,0.0
116,1,5708235,11,0.0
117,1,13256477,1,0.0
118,6,1488928,13,1.0
119,11,1805828,1173,12.0
120,2,3091102,15,0.0
121,1,8826647,1,0.0
