,length,score
0,1709,18
1,696,1
2,516,0
3,550,1
4,1024,1
5,970,0
6,609,1
7,880,1
8,662,1
9,48,0
10,321,0
11,926,1
12,381,0
13,871,1
14,3274,13
15,175,1
16,1318,2
17,581,23
18,609,1
19,333,0
20,313,0
21,754,12
22,445,2
23,3801,2
24,564,0
25,741,0
26,476,1
27,1260,3
28,249,1
29,287,2
30,239,3
31,731,0
32,847,1
33,209,1
34,1433,1
35,798,1
36,401,0
37,522,1
38,823,6
39,113,0
40,646,1
41,359,0
42,895,0
43,185,0
44,308,1
45,390,1
46,702,3
47,305,3
48,1022,6
49,1404,0
50,1576,1
51,2476,2
52,1256,1
53,645,3
54,96,8
55,324,0
56,362,0
57,103,2
58,517,4
59,368,0
60,560,1
61,1046,2
62,384,1
63,613,12
64,803,0
65,391,1
66,2094,746
67,295,0
68,2010,0
69,512,1
70,404,0
71,1060,1
72,427,0
73,643,0
74,425,0
75,339,1
76,85,1
77,530,0
78,874,5
79,1122,7
80,160,1
81,2088,1
82,1778,1
83,1070,3
84,898,1
85,560,1
86,1121,2
87,496,1
88,1007,2
89,456,3
90,2682,5
91,1129,20
92,2353,2
93,2025,1
94,662,2
95,173,6
96,492,10
97,1798,10
98,1066,0
99,240,0
100,1012,7
101,964,9
102,251,1
103,190,2
104,849,1
105,974,0
106,1319,0
107,247,1
108,391,2
109,162,0
110,229,1
111,486,0
112,625,1
113,1273,1
114,123,1
115,654,1
116,1192,24
117,201,1
118,1473,0
119,1322,2
120,355,0
121,336,0
122,14169,1
123,517,0
124,605,3
125,64,1
126,155,0
127,1075,1
128,1575,1
129,258,2
130,254,51
131,893,0
132,673,0
133,260,1
134,306,0
135,608,0
136,700,1
137,356,-1
138,455,0
139,434,2
140,264,3
141,724,1
142,431,1
143,550,0
144,548,0
145,1179,0
146,1273,3
147,229,0
148,1679,1
149,1731,0
150,1226,2
151,915,1
152,1238,0
153,771,4
154,376,1
155,1690,0
156,533,0
157,246,3
158,252,9
159,480,19
160,390,0
161,404,0
162,522,0
163,536,0
164,521,2
165,831,13
166,179,0
167,208,0
168,340,1
169,1099,1
170,531,0
171,577,1
172,405,4
173,654,0
174,218,1
175,642,1
176,2526,1
177,558,1
178,254,2
179,434,1
180,773,4
181,1190,1
182,1031,2
183,442,2
184,840,0
185,687,0
186,532,4
187,197,6
188,242,3
189,633,1
190,956,8
191,2943,1
192,1211,4
193,625,3
194,668,0
195,176,1
196,1305,0
197,1424,0
198,555,0
199,252,3
200,614,0
201,289,2
202,220,0
203,973,0
204,248,4
205,1311,0
206,119,2
207,482,0
208,243,0
209,882,1
210,606,0
211,1120,1
212,273,0
213,295,2
214,250,1
215,653,1
216,994,1
217,185,0
218,213,0
219,511,5
220,1132,18
221,292,0
222,223,0
223,1630,0
224,957,0
225,224,0
226,403,6
227,1027,0
228,535,2
229,295,1
230,763,2
231,649,3
232,253,0
233,1261,0
234,690,2
235,294,0
236,637,1
237,201,1
238,493,0
239,725,1
240,789,1
241,341,4
242,147,-2
243,507,6
244,508,4
245,480,6
246,1892,1
247,576,1
248,553,0
249,606,0
250,945,0
251,255,1
252,1209,1
253,147,0
254,361,20
255,384,1
256,216,1
257,3396,2
258,685,6
259,1606,0
260,442,1
261,148,4
262,822,1
263,758,1
264,367,3
265,219,1
266,663,0
267,470,0
268,714,1
269,890,5
270,2456,3
271,952,3
272,1526,3
273,309,1
274,1276,0
275,199,0
276,984,70
277,808,6
278,236,8
279,231,0
280,1370,3
281,210,0
282,1409,1
283,361,1
284,981,0
285,897,1
286,398,1
287,480,3
288,286,-1
289,130,0
290,349,1
291,443,2
292,706,0
293,579,0
294,640,1
295,445,1
296,1618,0
297,360,0
298,1332,2
299,165,1
300,721,0
301,875,2
302,1201,0
303,217,0
304,69,0
305,1518,1
306,490,1
307,950,1
308,522,0
309,688,0
310,572,1
311,3431,3
312,312,5
313,1036,1
314,438,0
315,24321,0
316,259,-3
317,88,0
318,434,0
319,142,1
320,1064,1
321,109,1
322,290,2
323,361,0
324,409,0
325,274,1
326,338,0
327,546,1
328,1683,3
329,731,0
330,88,1
331,73,0
332,104,1
333,4642,3
334,212,0
335,328,0
336,250,0
337,459,26
338,283,2
339,182,1
340,551,1
341,593,-1
342,674,1
343,2809,3
344,554,46
345,1645,0
346,634,3
347,823,3
348,201,0
349,370,0
350,1133,1
351,76,0
352,4073,1
353,677,2
354,264,1
355,283,0
356,1130,3
357,167,2
358,1377,1
359,520,-1
360,712,0
361,923,5
362,181,0
363,4240,1
364,635,0
365,215,1
366,1769,1
367,1165,1
368,700,0
369,85,0
370,1815,1
371,716,1
372,171,2
373,507,0
374,2148,1
375,886,2
376,72,0
377,141,0
378,550,1
379,487,0
380,2895,14
381,1186,3
382,612,0
383,1103,0
384,658,2
385,276,2
386,397,1
387,485,13
388,97,0
389,465,0
390,1178,0
391,513,0
392,519,1
393,428,13
394,557,5
395,4632,5
396,669,4
397,335,2
398,72,0
399,840,0
400,427,0
401,1535,1
402,1210,0
403,2122,1
404,244,1
405,244,0
406,1093,1
407,308,3
408,667,5
409,199,0
410,385,0
411,1423,2
412,1094,3
413,1979,6
414,512,0
415,220,3
416,720,2
417,346,0
418,366,1
419,819,1
420,553,2
421,130,1
422,312,129
423,120,0
424,660,0
425,1567,0
426,290,2
427,256,0
428,164,3
429,258,0
430,1008,0
431,467,2
432,2062,5
433,1603,0
434,540,2
435,1013,2
436,161,1
437,249,0
438,868,5
439,95,0
440,189,1
441,987,0
442,1168,0
443,213,3
444,1250,0
445,433,0
446,1531,1
447,452,2
448,82,2
449,1734,18
450,452,0
451,2465,8
452,312,0
453,193,1
454,639,1
455,663,0
456,693,0
457,216,0
458,3675,11
459,202,3
460,1900,1
461,510,0
462,1174,5
463,128,1
464,1197,1
465,378,3
466,1001,0
467,440,2
468,643,0
469,394,2
470,183,1
471,958,112
472,981,5
473,891,-1
474,275,1
475,287,-1
476,741,0
477,4393,0
478,463,0
479,1267,2
480,233,1
481,1498,4
482,490,0
483,2360,1
484,346,0
485,600,3
486,1078,0
487,395,0
488,575,187
489,1029,51
490,1739,5
491,245,0
492,867,0
493,2477,6
494,577,1
495,1872,5
496,377,4
497,340,2
498,860,1
499,583,0
500,299,0
501,2213,5
502,863,1
503,507,0
504,389,0
505,364,0
506,412,0
507,149,1
508,2964,0
509,1707,1
510,437,0
511,544,0
512,1982,0
513,283,2
514,692,1
515,283,0
516,288,1
517,372,0
518,4631,2
519,845,1
520,1219,3
521,916,6
522,241,2
523,724,1
524,1020,0
525,154,0
526,699,0
527,284,0
528,251,-1
529,1212,1
530,1657,1
531,1312,1
532,418,5
533,836,1
534,258,11
535,294,0
536,462,1
537,935,4
538,1065,1
539,1109,1
540,678,1
541,152,0
542,752,2
543,2178,1
544,203,0
545,170,2
546,457,1
547,104,0
548,507,1
549,679,0
550,4032,0
551,1849,2
552,723,1
553,2183,3
554,527,2
555,748,0
556,12654,4
557,924,0
558,318,1
559,788,3
560,1409,0
561,385,0
562,438,1
563,643,0
564,2615,1
565,340,3
566,198,2
567,828,4
568,1305,1
569,191,0
570,249,0
571,791,107
572,977,1
573,1242,1
574,600,0
575,703,1
576,136,0
577,1090,0
578,522,0
579,5570,0
580,1270,2
581,459,2
582,793,0
583,1215,1
584,179,1
585,826,0
586,2442,3
587,800,2
588,639,1
589,169,2
590,508,0
591,1715,2
592,979,1
593,447,0
594,445,1
595,549,0
596,1595,3
597,700,0
598,690,0
599,236,10
600,1328,0
601,771,6
602,750,0
